tree_id,spc_common,boroname,steward,guards,sidewalk,curb_loc,soil,tree_dbh,health
200021,Callery pear,Brooklyn,None,WireCage,NoDamage,OffsetFromCurb,Plantable,16.2,Good
200022,Littleleaf linden,Queens,4orMore,WireCage,NoDamage,OnCurb,Plantable,14.1,Good
200023,Honeylocust,Staten Island,None,MetalGrate,NoDamage,OnCurb,Well-maintained,17.9,Poor
200024,Ginkgo,Queens,None,None,NoDamage,OnCurb,Plantable,13.0,Fair
200025,Callery pear,Queens,None,WireCage,Damage,OnCurb,Plantable,11.3,Fair
200026,Honeylocust,Bronx,3or4,None,NoDamage,OnCurb,Plantable,7.7,Poor
200027,London planetree,Queens,None,None,NoDamage,OnCurb,Artificial,9.9,Fair
200028,London planetree,Manhattan,4orMore,WireCage,Damage,OnCurb,Artificial,22.4,Poor
200029,Honeylocust,Bronx,3or4,Hurdle,NoDamage,OffsetFromCurb,Stone,8.8,Good
200030,American elm,Brooklyn,1or2,WireCage,Damage,OnCurb,Artificial,9.2,Fair
200031,Pin oak,Brooklyn,1or2,None,NoDamage,OffsetFromCurb,Well-maintained,11.7,Good
200032,Callery pear,Brooklyn,None,MetalGrate,NoDamage,OnCurb,Stone,8.0,Good
200033,London planetree,Queens,3or4,Hurdle,NoDamage,OnCurb,Artificial,11.3,Good
200034,Honeylocust,Staten Island,3or4,WireCage,NoDamage,OnCurb,Artificial,19.9,Fair
200035,Callery pear,Queens,None,WireCage,NoDamage,OffsetFromCurb,Stone,18.2,Poor
200036,London planetree,Queens,None,WireCage,NoDamage,OffsetFromCurb,Stone,12.1,Good
200037,Japanese zelkova,Queens,None,MetalGrate,NoDamage,OnCurb,Stone,21.7,Good
200038,London planetree,Brooklyn,None,WireCage,NoDamage,OnCurb,Stone,3,Good
200039,Japanese zelkova,Bronx,4orMore,None,NoDamage,OnCurb,Artificial,21.3,Good
200040,Pin oak,Brooklyn,1or2,None,NoDamage,OnCurb,Artificial,12.9,Poor
200041,Callery pear,Queens,3or4,Hurdle,NoDamage,OnCurb,Stone,12.7,Good
200042,Honeylocust,Queens,3or4,None,NoDamage,OnCurb,Plantable,12.3,Good
200043,Littleleaf linden,Queens,3or4,Hurdle,NoDamage,OnCurb,Artificial,15.5,Good
200044,Callery pear,Manhattan,1or2,None,NoDamage,OnCurb,Plantable,20.3,Good
200045,London planetree,Manhattan,1or2,None,NoDamage,OffsetFromCurb,Stone,7.8,Good
200046,London planetree,Bronx,None,None,NoDamage,OnCurb,Plantable,10.7,Fair
200047,Callery pear,Brooklyn,1or2,None,NoDamage,OffsetFromCurb,Artificial,10.6,Good
200048,London planetree,Staten Island,1or2,None,NoDamage,OffsetFromCurb,Plantable,15.4,Poor
200049,Ginkgo,Staten Island,3or4,Hurdle,NoDamage,OnCurb,Well-maintained,6.0,Good
200050,Japanese zelkova,Queens,1or2,None,NoDamage,OffsetFromCurb,Stone,6.0,Good
200051,London planetree,Brooklyn,None,None,NoDamage,OnCurb,Artificial,12.1,Fair
200052,Pin oak,Bronx,None,Hurdle,NoDamage,OnCurb,Plantable,18.5,Fair
200053,Japanese zelkova,Queens,None,None,NoDamage,OffsetFromCurb,Well-maintained,9.3,Poor
200054,Callery pear,Queens,1or2,Hurdle,NoDamage,OnCurb,Plantable,17.5,Fair
200055,Callery pear,Bronx,1or2,None,NoDamage,OnCurb,Plantable,13.8,Good
200056,London planetree,Queens,None,None,Damage,OnCurb,Artificial,9.1,Fair
200057,Pin oak,Queens,None,None,Damage,OnCurb,Well-maintained,20.5,Good
200058,Pin oak,Queens,1or2,MetalGrate,NoDamage,OnCurb,Artificial,14.5,Good
200059,Ginkgo,Brooklyn,1or2,MetalGrate,Damage,OnCurb,Stone,15.1,Good
200060,American elm,Staten Island,None,None,NoDamage,OffsetFromCurb,Well-maintained,6.7,Good
200061,Pin oak,Queens,None,MetalGrate,NoDamage,OnCurb,Artificial,17.8,Poor
200062,American elm,Brooklyn,1or2,None,NoDamage,OnCurb,Well-maintained,14.0,Poor
200063,Ginkgo,Queens,1or2,None,NoDamage,OffsetFromCurb,Artificial,10.9,Fair
200064,Callery pear,Manhattan,1or2,MetalGrate,NoDamage,OffsetFromCurb,Well-maintained,21.8,Good
200065,Callery pear,Queens,None,None,NoDamage,OnCurb,Artificial,18.4,Poor
200066,Honeylocust,Queens,1or2,None,Damage,OffsetFromCurb,Artificial,11.9,Fair
200067,Pin oak,Queens,1or2,MetalGrate,Damage,OnCurb,Stone,7.3,Good
200068,Ginkgo,Manhattan,1or2,None,NoDamage,OnCurb,Stone,12.5,Good
200069,London planetree,Bronx,1or2,MetalGrate,Damage,OnCurb,Plantable,16.8,Fair
200070,Littleleaf linden,Manhattan,None,None,Damage,OnCurb,Artificial,19.2,Good
200071,Littleleaf linden,Manhattan,1or2,None,NoDamage,OnCurb,Well-maintained,13.5,Good
200072,Callery pear,Manhattan,None,None,NoDamage,OnCurb,Well-maintained,11.4,Fair
200073,London planetree,Bronx,1or2,None,NoDamage,OnCurb,Stone,14.1,Fair
200074,American elm,Brooklyn,1or2,None,NoDamage,OffsetFromCurb,Well-maintained,10.6,Good
200075,Pin oak,Staten Island,None,None,NoDamage,OnCurb,Artificial,19.5,Good
200076,London planetree,Manhattan,1or2,None,NoDamage,OffsetFromCurb,Stone,5.7,Poor
200077,American elm,Queens,1or2,WireCage,NoDamage,OnCurb,Stone,15.2,Poor
200078,American elm,Bronx,None,None,NoDamage,OnCurb,Artificial,18.4,Fair
200079,Littleleaf linden,Manhattan,1or2,None,Damage,OnCurb,Artificial,18.4,Good
200080,London planetree,Staten Island,3or4,Hurdle,NoDamage,OffsetFromCurb,Stone,12.8,Fair
200081,Callery pear,Queens,4orMore,None,NoDamage,OffsetFromCurb,Plantable,14.4,Good
200082,Honeylocust,Brooklyn,1or2,MetalGrate,NoDamage,OffsetFromCurb,Artificial,21.6,Good
200083,Callery pear,Brooklyn,None,WireCage,NoDamage,OnCurb,Well-maintained,9.9,Fair
200084,Callery pear,Brooklyn,None,None,NoDamage,OnCurb,Stone,14.8,Poor
200085,Callery pear,Queens,None,WireCage,NoDamage,OnCurb,Artificial,19.0,Fair
200086,Ginkgo,Bronx,4orMore,WireCage,NoDamage,OnCurb,Well-maintained,5.1,Good
200087,Honeylocust,Queens,4orMore,None,NoDamage,OnCurb,Well-maintained,13.1,Good
200088,Japanese zelkova,Queens,None,MetalGrate,NoDamage,OffsetFromCurb,Plantable,14.7,Good
200089,Ginkgo,Staten Island,1or2,None,NoDamage,OnCurb,Plantable,9.3,Good
200090,Callery pear,Brooklyn,None,Hurdle,NoDamage,OnCurb,Stone,21.0,Fair
200091,American elm,Brooklyn,1or2,MetalGrate,NoDamage,OnCurb,Artificial,15.2,Good
200092,Ginkgo,Queens,3or4,None,NoDamage,OnCurb,Stone,6.8,Good
200093,Callery pear,Staten Island,None,Hurdle,NoDamage,OffsetFromCurb,Well-maintained,16.9,Poor
200094,Honeylocust,Brooklyn,3or4,MetalGrate,NoDamage,OnCurb,Artificial,5.3,Poor
200095,Pin oak,Brooklyn,None,Hurdle,NoDamage,OnCurb,Stone,4.7,Poor
200096,London planetree,Queens,None,None,Damage,OnCurb,Plantable,13.8,Good
200097,Japanese zelkova,Queens,None,WireCage,Damage,OnCurb,Artificial,10.1,Good
200098,London planetree,Queens,3or4,Hurdle,Damage,OnCurb,Plantable,6.9,Good
200099,Honeylocust,Queens,None,None,NoDamage,OnCurb,Plantable,9.3,Fair
200100,Littleleaf linden,Brooklyn,4orMore,Hurdle,NoDamage,OnCurb,Stone,12.9,Good
200101,Callery pear,Staten Island,None,MetalGrate,NoDamage,OnCurb,Plantable,11.4,Fair
200102,Pin oak,Queens,1or2,MetalGrate,NoDamage,OffsetFromCurb,Stone,11.0,Good
200103,Pin oak,Bronx,None,MetalGrate,Damage,OnCurb,Plantable,18.0,Poor
200104,Callery pear,Staten Island,3or4,None,NoDamage,OnCurb,Stone,12.9,Good
200105,Littleleaf linden,Bronx,4orMore,WireCage,NoDamage,OffsetFromCurb,Well-maintained,8.5,Fair
200106,Honeylocust,Queens,None,None,NoDamage,OffsetFromCurb,Stone,5.0,Poor
200107,London planetree,Brooklyn,None,WireCage,NoDamage,OffsetFromCurb,Artificial,8.3,Good
200108,American elm,Staten Island,None,None,Damage,OffsetFromCurb,Artificial,10.7,Poor
200109,London planetree,Manhattan,1or2,MetalGrate,NoDamage,OnCurb,Stone,13.1,Good
200110,Callery pear,Bronx,1or2,None,NoDamage,OnCurb,Plantable,3,Poor
200111,London planetree,Queens,1or2,WireCage,NoDamage,OnCurb,Artificial,17.3,Good
200112,American elm,Manhattan,1or2,Hurdle,NoDamage,OnCurb,Stone,13.1,Good
200113,London planetree,Queens,None,None,NoDamage,OnCurb,Artificial,15.6,Poor
200114,London planetree,Queens,None,None,NoDamage,OnCurb,Stone,13.9,Fair
200115,Honeylocust,Brooklyn,None,None,NoDamage,OnCurb,Stone,13.1,Fair
200116,American elm,Manhattan,None,None,NoDamage,OnCurb,Stone,17.1,Good
200117,Littleleaf linden,Bronx,1or2,None,NoDamage,OnCurb,Well-maintained,8.5,Good
200118,London planetree,Manhattan,None,None,NoDamage,OnCurb,Artificial,19.1,Good
200119,Ginkgo,Bronx,1or2,MetalGrate,NoDamage,OffsetFromCurb,Stone,12.8,Good
200120,Callery pear,Brooklyn,None,None,NoDamage,OnCurb,Plantable,10.5,Good
200121,Japanese zelkova,Bronx,3or4,None,Damage,OffsetFromCurb,Stone,8.8,Fair
200122,Ginkgo,Manhattan,None,None,NoDamage,OffsetFromCurb,Stone,18.4,Poor
200123,Ginkgo,Brooklyn,1or2,None,NoDamage,OnCurb,Artificial,7.1,Fair
200124,Honeylocust,Queens,1or2,MetalGrate,NoDamage,OffsetFromCurb,Stone,7.6,Good
200125,Japanese zelkova,Queens,None,None,NoDamage,OnCurb,Plantable,8.3,Good
200126,Japanese zelkova,Manhattan,None,None,NoDamage,OnCurb,Stone,14.1,Good
200127,Honeylocust,Queens,3or4,Hurdle,Damage,OnCurb,Artificial,18.1,Fair
200128,Pin oak,Brooklyn,1or2,None,NoDamage,OnCurb,Stone,17.0,Good
200129,Pin oak,Manhattan,1or2,None,NoDamage,OnCurb,Artificial,16.5,Good
200130,London planetree,Bronx,None,None,Damage,OffsetFromCurb,Artificial,7.3,Fair
200131,American elm,Queens,None,WireCage,Damage,OnCurb,Well-maintained,18.3,Poor
200132,Ginkgo,Manhattan,1or2,None,Damage,OnCurb,Artificial,15.2,Poor
200133,Japanese zelkova,Bronx,3or4,None,NoDamage,OnCurb,Plantable,6.4,Good
200134,Honeylocust,Brooklyn,None,None,Damage,OnCurb,Well-maintained,8.3,Poor
200135,American elm,Brooklyn,None,None,NoDamage,OffsetFromCurb,Stone,19.5,Good
200136,American elm,Manhattan,3or4,MetalGrate,NoDamage,OffsetFromCurb,Plantable,8.4,Fair
200137,Ginkgo,Bronx,None,None,NoDamage,OnCurb,Artificial,7.7,Fair
200138,Honeylocust,Manhattan,None,MetalGrate,Damage,OffsetFromCurb,Well-maintained,8.5,Good
200139,Ginkgo,Queens,3or4,None,NoDamage,OffsetFromCurb,Artificial,9.1,Good
200140,London planetree,Bronx,None,WireCage,NoDamage,OffsetFromCurb,Plantable,14.8,Good
200141,Callery pear,Manhattan,None,None,NoDamage,OnCurb,Plantable,16.3,Fair
200142,American elm,Queens,None,None,NoDamage,OnCurb,Stone,7.0,Poor
200143,Honeylocust,Manhattan,None,None,NoDamage,OffsetFromCurb,Plantable,3.9,Fair
200144,Japanese zelkova,Brooklyn,None,MetalGrate,NoDamage,OffsetFromCurb,Well-maintained,12.5,Good
200145,Ginkgo,Brooklyn,None,None,Damage,OnCurb,Well-maintained,5.4,Fair
200146,London planetree,Bronx,None,MetalGrate,Damage,OffsetFromCurb,Well-maintained,14.0,Good
200147,Pin oak,Bronx,None,None,NoDamage,OffsetFromCurb,Stone,12.1,Good
200148,Callery pear,Brooklyn,1or2,None,NoDamage,OnCurb,Stone,7.1,Good
200149,American elm,Manhattan,3or4,None,NoDamage,OffsetFromCurb,Plantable,14.9,Good
200150,Honeylocust,Manhattan,4orMore,MetalGrate,NoDamage,OnCurb,Artificial,6.6,Good
200151,London planetree,Queens,3or4,None,NoDamage,OnCurb,Well-maintained,5.1,Good
200152,Callery pear,Staten Island,None,None,NoDamage,OnCurb,Artificial,9.3,Poor
200153,Honeylocust,Bronx,4orMore,MetalGrate,NoDamage,OffsetFromCurb,Artificial,13.0,Good
200154,American elm,Queens,None,Hurdle,NoDamage,OnCurb,Artificial,12.6,Fair
200155,Pin oak,Manhattan,None,None,NoDamage,OnCurb,Plantable,22.5,Fair
200156,Callery pear,Bronx,3or4,Hurdle,Damage,OnCurb,Artificial,16.3,Fair
200157,Honeylocust,Brooklyn,1or2,None,NoDamage,OnCurb,Plantable,17.2,Good
200158,Littleleaf linden,Manhattan,None,None,NoDamage,OffsetFromCurb,Artificial,21.8,Good
200159,Pin oak,Queens,3or4,MetalGrate,NoDamage,OnCurb,Plantable,13.9,Fair
200160,London planetree,Queens,1or2,Hurdle,NoDamage,OffsetFromCurb,Artificial,13.9,Good
200161,London planetree,Brooklyn,None,WireCage,NoDamage,OffsetFromCurb,Plantable,7.5,Good
200162,Pin oak,Brooklyn,None,MetalGrate,NoDamage,OnCurb,Artificial,5.9,Fair
200163,Japanese zelkova,Brooklyn,4orMore,None,NoDamage,OffsetFromCurb,Plantable,20.7,Fair
200164,Pin oak,Bronx,1or2,MetalGrate,NoDamage,OnCurb,Artificial,10.7,Good
200165,Callery pear,Queens,None,None,NoDamage,OnCurb,Well-maintained,9.4,Good
200166,Littleleaf linden,Staten Island,None,Hurdle,NoDamage,OffsetFromCurb,Stone,15.7,Fair
200167,American elm,Bronx,None,MetalGrate,NoDamage,OnCurb,Plantable,12.2,Fair
200168,Pin oak,Staten Island,None,MetalGrate,NoDamage,OnCurb,Plantable,10.8,Good
200169,Pin oak,Manhattan,None,Hurdle,NoDamage,OnCurb,Plantable,9.9,Poor
200170,Honeylocust,Staten Island,1or2,None,NoDamage,OnCurb,Well-maintained,11.0,Fair
200171,American elm,Brooklyn,None,None,NoDamage,OffsetFromCurb,Well-maintained,13.7,Fair
200172,Japanese zelkova,Queens,3or4,None,Damage,OnCurb,Artificial,13.3,Fair
200173,Honeylocust,Queens,1or2,Hurdle,Damage,OnCurb,Well-maintained,11.9,Fair
200174,Callery pear,Queens,3or4,None,NoDamage,OffsetFromCurb,Plantable,11.0,Poor
200175,American elm,Queens,None,WireCage,NoDamage,OffsetFromCurb,Artificial,8.8,Good
200176,London planetree,Bronx,None,Hurdle,NoDamage,OffsetFromCurb,Well-maintained,15.2,Good
200177,Ginkgo,Bronx,None,None,NoDamage,OnCurb,Well-maintained,9.9,Good
200178,Pin oak,Queens,1or2,MetalGrate,NoDamage,OffsetFromCurb,Artificial,19.9,Good
200179,Pin oak,Queens,None,Hurdle,NoDamage,OnCurb,Artificial,15.0,Poor
200180,Callery pear,Queens,1or2,None,Damage,OnCurb,Plantable,9.6,Fair
200181,Honeylocust,Queens,3or4,WireCage,NoDamage,OnCurb,Plantable,13.3,Good
200182,Honeylocust,Manhattan,None,None,Damage,OnCurb,Plantable,10.2,Poor
200183,London planetree,Brooklyn,1or2,None,NoDamage,OnCurb,Plantable,10.5,Good
200184,Honeylocust,Bronx,4orMore,None,NoDamage,OnCurb,Plantable,18.6,Poor
200185,Pin oak,Manhattan,1or2,MetalGrate,NoDamage,OffsetFromCurb,Stone,14.8,Fair
200186,Honeylocust,Brooklyn,1or2,None,NoDamage,OnCurb,Plantable,13.4,Poor
200187,Pin oak,Bronx,4orMore,None,NoDamage,OnCurb,Well-maintained,9.0,Fair
200188,London planetree,Manhattan,1or2,None,Damage,OnCurb,Plantable,6.4,Fair
200189,Honeylocust,Queens,None,WireCage,NoDamage,OnCurb,Plantable,14.8,Fair
200190,Callery pear,Queens,None,MetalGrate,NoDamage,OffsetFromCurb,Well-maintained,5.3,Fair
200191,Pin oak,Bronx,1or2,WireCage,NoDamage,OffsetFromCurb,Plantable,8.5,Fair
200192,Ginkgo,Bronx,1or2,Hurdle,NoDamage,OnCurb,Stone,24.9,Good
200193,London planetree,Brooklyn,None,Hurdle,NoDamage,OffsetFromCurb,Well-maintained,15.4,Poor
200194,Pin oak,Bronx,None,None,NoDamage,OffsetFromCurb,Plantable,11.8,Poor
200195,Honeylocust,Brooklyn,3or4,MetalGrate,NoDamage,OffsetFromCurb,Plantable,15.8,Good
200196,Honeylocust,Manhattan,None,WireCage,NoDamage,OnCurb,Artificial,11.8,Good
200197,Japanese zelkova,Queens,None,None,NoDamage,OnCurb,Well-maintained,8.8,Fair
200198,Littleleaf linden,Queens,None,None,NoDamage,OnCurb,Plantable,12.8,Good
200199,Callery pear,Staten Island,1or2,None,NoDamage,OnCurb,Artificial,18.7,Fair
200200,Callery pear,Queens,None,None,NoDamage,OnCurb,Stone,19.3,Poor
200201,Callery pear,Staten Island,3or4,None,Damage,OffsetFromCurb,Artificial,13.2,Fair
200202,Japanese zelkova,Bronx,1or2,None,NoDamage,OffsetFromCurb,Well-maintained,17.7,Good
200203,Japanese zelkova,Staten Island,None,None,NoDamage,OffsetFromCurb,Well-maintained,22.2,Poor
200204,London planetree,Manhattan,None,WireCage,NoDamage,OffsetFromCurb,Plantable,3,Fair
200205,Callery pear,Brooklyn,None,None,NoDamage,OnCurb,Artificial,13.5,Fair
200206,American elm,Manhattan,3or4,None,NoDamage,OffsetFromCurb,Well-maintained,10.9,Good
200207,London planetree,Bronx,None,None,NoDamage,OnCurb,Stone,12.8,Poor
200208,Honeylocust,Queens,None,Hurdle,NoDamage,OnCurb,Artificial,11.2,Good
200209,Japanese zelkova,Queens,None,None,NoDamage,OnCurb,Plantable,17.8,Good
200210,London planetree,Bronx,3or4,Hurdle,NoDamage,OnCurb,Plantable,5.8,Good
200211,Honeylocust,Queens,3or4,None,NoDamage,OffsetFromCurb,Artificial,11.3,Good
200212,London planetree,Manhattan,1or2,Hurdle,Damage,OnCurb,Plantable,15.5,Fair
200213,London planetree,Manhattan,3or4,None,NoDamage,OnCurb,Artificial,15.3,Good
200214,American elm,Queens,None,MetalGrate,NoDamage,OnCurb,Artificial,12.0,Poor
200215,Japanese zelkova,Bronx,4orMore,None,NoDamage,OffsetFromCurb,Stone,14.5,Poor
200216,Ginkgo,Brooklyn,4orMore,None,NoDamage,OffsetFromCurb,Plantable,10.0,Good
200217,Pin oak,Brooklyn,None,None,NoDamage,OffsetFromCurb,Artificial,6.3,Good
200218,London planetree,Brooklyn,1or2,Hurdle,NoDamage,OffsetFromCurb,Artificial,10.7,Poor
200219,Pin oak,Bronx,3or4,None,NoDamage,OffsetFromCurb,Artificial,16.3,Good
200220,London planetree,Bronx,1or2,Hurdle,Damage,OffsetFromCurb,Plantable,13.3,Poor
200221,London planetree,Manhattan,None,MetalGrate,NoDamage,OnCurb,Plantable,16.5,Fair
200222,Honeylocust,Brooklyn,None,Hurdle,NoDamage,OnCurb,Artificial,22.8,Poor
200223,Ginkgo,Brooklyn,1or2,WireCage,NoDamage,OffsetFromCurb,Stone,9.7,Good
200224,Callery pear,Bronx,None,MetalGrate,NoDamage,OffsetFromCurb,Artificial,10.6,Poor
200225,Ginkgo,Staten Island,1or2,None,NoDamage,OnCurb,Stone,4.3,Poor
200226,American elm,Bronx,3or4,None,NoDamage,OffsetFromCurb,Plantable,15.3,Fair
200227,Pin oak,Manhattan,1or2,WireCage,NoDamage,OffsetFromCurb,Artificial,10.7,Poor
200228,Littleleaf linden,Bronx,4orMore,None,NoDamage,OnCurb,Artificial,18.5,Fair
200229,Honeylocust,Manhattan,None,None,NoDamage,OnCurb,Artificial,9.8,Poor
200230,Callery pear,Queens,4orMore,None,NoDamage,OnCurb,Artificial,15.4,Poor
200231,Ginkgo,Brooklyn,None,None,NoDamage,OffsetFromCurb,Plantable,16.1,Fair
200232,Pin oak,Brooklyn,3or4,WireCage,NoDamage,OnCurb,Artificial,13.8,Fair
200233,Callery pear,Staten Island,1or2,Hurdle,Damage,OnCurb,Well-maintained,10.1,Poor
200234,Pin oak,Queens,None,MetalGrate,NoDamage,OffsetFromCurb,Artificial,8.2,Fair
200235,Pin oak,Queens,1or2,None,Damage,OnCurb,Artificial,12.8,Fair
200236,Honeylocust,Staten Island,None,MetalGrate,NoDamage,OffsetFromCurb,Well-maintained,14.8,Good
200237,London planetree,Manhattan,3or4,None,NoDamage,OnCurb,Plantable,14.4,Good
200238,Littleleaf linden,Brooklyn,1or2,MetalGrate,NoDamage,OffsetFromCurb,Stone,17.1,Good
200239,London planetree,Bronx,None,None,NoDamage,OffsetFromCurb,Plantable,15.7,Poor
200240,London planetree,Manhattan,None,None,NoDamage,OffsetFromCurb,Plantable,14.9,Poor
200241,Japanese zelkova,Manhattan,None,WireCage,NoDamage,OffsetFromCurb,Plantable,13.6,Fair
200242,Pin oak,Brooklyn,None,None,NoDamage,OffsetFromCurb,Plantable,16.6,Fair
200243,London planetree,Staten Island,3or4,None,NoDamage,OnCurb,Plantable,10.3,Fair
200244,Honeylocust,Queens,4orMore,None,NoDamage,OnCurb,Artificial,18.8,Good
200245,Littleleaf linden,Brooklyn,1or2,Hurdle,Damage,OnCurb,Stone,12.7,Fair
200246,London planetree,Bronx,3or4,Hurdle,NoDamage,OnCurb,Artificial,17.3,Good
200247,Honeylocust,Bronx,None,None,NoDamage,OnCurb,Artificial,13.1,Good
200248,London planetree,Manhattan,None,None,NoDamage,OnCurb,Artificial,21.8,Poor
200249,Ginkgo,Bronx,None,None,NoDamage,OnCurb,Artificial,6.7,Good
200250,Callery pear,Manhattan,None,None,NoDamage,OnCurb,Plantable,13.8,Good
200251,Littleleaf linden,Brooklyn,1or2,MetalGrate,NoDamage,OnCurb,Stone,15.2,Poor
200252,Littleleaf linden,Bronx,None,WireCage,Damage,OnCurb,Well-maintained,17.1,Fair
200253,Callery pear,Manhattan,None,None,NoDamage,OnCurb,Artificial,12.2,Fair
200254,Ginkgo,Manhattan,1or2,Hurdle,NoDamage,OnCurb,Stone,9.2,Good
200255,American elm,Queens,None,None,NoDamage,OnCurb,Stone,14.6,Fair
200256,American elm,Bronx,4orMore,None,NoDamage,OnCurb,Well-maintained,10.8,Fair
200257,Honeylocust,Staten Island,1or2,Hurdle,Damage,OffsetFromCurb,Stone,7.2,Good
200258,Ginkgo,Bronx,4orMore,Hurdle,NoDamage,OffsetFromCurb,Well-maintained,12.3,Good
200259,Callery pear,Manhattan,1or2,Hurdle,NoDamage,OnCurb,Stone,13.3,Good
200260,Callery pear,Brooklyn,None,None,NoDamage,OffsetFromCurb,Artificial,15.6,Good
200261,Callery pear,Brooklyn,1or2,None,NoDamage,OffsetFromCurb,Artificial,12.0,Good
200262,American elm,Bronx,3or4,Hurdle,NoDamage,OnCurb,Well-maintained,13.1,Good
200263,Ginkgo,Staten Island,None,None,Damage,OffsetFromCurb,Plantable,16.1,Good
200264,Ginkgo,Brooklyn,1or2,None,NoDamage,OnCurb,Stone,13.6,Good
200265,Japanese zelkova,Brooklyn,None,None,NoDamage,OffsetFromCurb,Plantable,11.3,Fair
200266,Ginkgo,Queens,1or2,None,NoDamage,OnCurb,Stone,11.9,Good
200267,London planetree,Bronx,None,None,Damage,OffsetFromCurb,Plantable,9.0,Fair
200268,London planetree,Brooklyn,None,Hurdle,NoDamage,OffsetFromCurb,Well-maintained,7.5,Good
200269,Honeylocust,Manhattan,None,None,Damage,OnCurb,Stone,11.0,Poor
200270,Callery pear,Manhattan,1or2,None,NoDamage,OnCurb,Artificial,21.3,Good
200271,Honeylocust,Manhattan,None,None,NoDamage,OffsetFromCurb,Plantable,14.6,Good
200272,London planetree,Queens,3or4,None,NoDamage,OnCurb,Stone,3,Good
200273,American elm,Queens,None,WireCage,NoDamage,OnCurb,Stone,8.7,Good
200274,Littleleaf linden,Queens,None,MetalGrate,NoDamage,OnCurb,Stone,11.0,Good
200275,London planetree,Brooklyn,None,None,NoDamage,OnCurb,Artificial,10.8,Fair
200276,Honeylocust,Brooklyn,3or4,WireCage,NoDamage,OnCurb,Well-maintained,15.5,Poor
200277,Japanese zelkova,Bronx,3or4,None,NoDamage,OffsetFromCurb,Stone,3,Fair
200278,Callery pear,Manhattan,None,None,NoDamage,OffsetFromCurb,Well-maintained,18.0,Good
200279,Japanese zelkova,Brooklyn,4orMore,None,Damage,OffsetFromCurb,Stone,16.3,Fair
200280,Callery pear,Queens,None,None,NoDamage,OnCurb,Plantable,13.9,Poor
200281,Honeylocust,Manhattan,1or2,None,NoDamage,OffsetFromCurb,Artificial,16.8,Good
200282,American elm,Manhattan,None,MetalGrate,NoDamage,OnCurb,Well-maintained,15.3,Good
200283,Ginkgo,Bronx,4orMore,None,NoDamage,OnCurb,Plantable,20.3,Poor
200284,London planetree,Brooklyn,None,Hurdle,NoDamage,OffsetFromCurb,Stone,18.7,Good
200285,London planetree,Queens,None,Hurdle,NoDamage,OffsetFromCurb,Plantable,13.0,Good
200286,London planetree,Brooklyn,3or4,None,NoDamage,OffsetFromCurb,Artificial,14.2,Good
200287,Littleleaf linden,Bronx,1or2,None,NoDamage,OnCurb,Stone,4.7,Fair
200288,London planetree,Brooklyn,1or2,MetalGrate,Damage,OnCurb,Stone,8.8,Poor
200289,Honeylocust,Bronx,None,None,NoDamage,OnCurb,Plantable,10.4,Fair
200290,Pin oak,Queens,1or2,None,NoDamage,OnCurb,Stone,12.5,Poor
200291,Littleleaf linden,Manhattan,None,None,NoDamage,OnCurb,Well-maintained,14.6,Poor
200292,Japanese zelkova,Bronx,3or4,Hurdle,NoDamage,OffsetFromCurb,Stone,21.2,Good
